date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,10.0,7.0,-8.0,8.0,8.0,0.0
2020-02-16,11.0,6.0,-10.0,4.0,0.0,2.0
2020-02-17,2.0,4.0,-1.0,11.0,22.0,-2.0
2020-02-18,1.0,4.0,2.0,14.0,22.0,-2.0
2020-02-19,-2.0,0.0,-3.0,9.0,20.0,-2.0
2020-02-20,4.0,8.0,15.0,12.0,21.0,-3.0
2020-02-21,7.0,15.0,-1.0,12.0,22.0,-3.0
2020-02-22,-6.0,3.0,-13.0,-3.0,-3.0,0.0
2020-02-23,-6.0,-2.0,-18.0,-6.0,-7.0,1.0
2020-02-24,-31.0,-15.0,-16.0,-34.0,-61.0,12.0
2020-02-25,-39.0,-27.0,14.0,-35.0,-71.0,11.0
2020-02-26,-20.0,-7.0,-14.0,-17.0,-22.0,9.0
2020-02-27,-4.0,5.0,16.0,5.0,17.0,-1.0
2020-02-28,-2.0,7.0,-14.0,4.0,22.0,1.0
2020-02-29,1.0,7.0,-25.0,-5.0,6.0,4.0
2020-03-01,1.0,14.0,-26.0,-4.0,1.0,5.0
2020-03-02,-3.0,1.0,-15.0,9.0,22.0,-1.0
2020-03-03,4.0,11.0,0.0,11.0,22.0,-2.0
2020-03-04,2.0,9.0,1.0,10.0,22.0,-2.0
2020-03-05,2.0,10.0,14.0,10.0,22.0,-3.0
2020-03-06,8.0,16.0,-15.0,11.0,25.0,-3.0
2020-03-07,12.0,19.0,-18.0,6.0,8.0,0.0
2020-03-08,18.0,23.0,3.0,6.0,4.0,1.0
2020-03-09,5.0,13.0,-3.0,15.0,24.0,-3.0
2020-03-10,4.0,14.0,6.0,17.0,23.0,-4.0
2020-03-11,2.0,11.0,1.0,13.0,22.0,-4.0
2020-03-12,0.0,14.0,9.0,3.0,7.0,2.0
2020-03-13,3.0,17.0,-1.0,2.0,8.0,2.0
2020-03-14,-2.0,14.0,-6.0,-2.0,3.0,2.0
2020-03-15,-8.0,13.0,-9.0,-5.0,-1.0,3.0
2020-03-16,-10.0,11.0,10.0,-8.0,1.0,4.0
2020-03-17,-18.0,10.0,4.0,-13.0,-5.0,6.0
2020-03-18,-25.0,12.0,-6.0,-21.0,-13.0,11.0
2020-03-19,-37.0,16.0,-25.0,-30.0,-24.0,14.0
2020-03-20,-56.0,7.0,-44.0,-40.0,-36.0,20.0
2020-03-21,-70.0,-21.0,-66.0,-52.0,-43.0,21.0
2020-03-22,-75.0,-37.0,-77.0,-62.0,-41.0,21.0
2020-03-23,-68.0,-29.0,-59.0,-60.0,-52.0,25.0
2020-03-24,-71.0,-31.0,-62.0,-62.0,-57.0,27.0
2020-03-25,-71.0,-34.0,-62.0,-64.0,-59.0,28.0
2020-03-26,-69.0,-28.0,-56.0,-62.0,-58.0,27.0
2020-03-27,-66.0,-21.0,-54.0,-59.0,-55.0,28.0
2020-03-28,-70.0,-30.0,-66.0,-59.0,-45.0,23.0
2020-03-29,-68.0,-28.0,-63.0,-56.0,-36.0,20.0
2020-03-30,-60.0,-22.0,-46.0,-57.0,-51.0,23.0
2020-03-31,-61.0,-17.0,-42.0,-56.0,-52.0,24.0
2020-04-01,-59.0,-14.0,-41.0,-56.0,-52.0,24.0
2020-04-02,-59.0,-11.0,-35.0,-55.0,-52.0,24.0
2020-04-03,-58.0,-5.0,-42.0,-52.0,-49.0,24.0
2020-04-04,-61.0,-10.0,-53.0,-49.0,-38.0,19.0
2020-04-05,-64.0,-20.0,-62.0,-53.0,-33.0,17.0
2020-04-06,-55.0,-11.0,-42.0,-52.0,-47.0,21.0
2020-04-07,-54.0,-5.0,-43.0,-51.0,-49.0,20.0
2020-04-08,-53.0,-1.0,-45.0,-51.0,-49.0,20.0
2020-04-09,-46.0,20.0,-27.0,-47.0,-49.0,17.0
2020-04-10,-73.0,-29.0,-50.0,-64.0,-76.0,27.0
2020-04-11,-54.0,0.0,-50.0,-46.0,-38.0,16.0
2020-04-12,-62.0,-18.0,-59.0,-49.0,-28.0,13.0
2020-04-13,-52.0,-14.0,-42.0,-51.0,-46.0,19.0
2020-04-14,-55.0,-15.0,-43.0,-52.0,-47.0,20.0
2020-04-15,-56.0,-13.0,-51.0,-52.0,-48.0,23.0
2020-04-16,-60.0,-8.0,-69.0,-50.0,-49.0,24.0
2020-04-17,-56.0,4.0,-67.0,-42.0,-43.0,23.0
2020-04-18,-62.0,-11.0,-73.0,-40.0,-31.0,18.0
2020-04-19,-67.0,-14.0,-71.0,-40.0,-27.0,17.0
2020-04-20,-58.0,-10.0,-67.0,-46.0,-46.0,21.0
2020-04-21,-73.0,-29.0,-68.0,-59.0,-72.0,28.0
2020-04-22,-60.0,-12.0,-70.0,-46.0,-44.0,21.0
2020-04-23,-60.0,-13.0,-67.0,-47.0,-45.0,22.0
2020-04-24,-58.0,-4.0,-66.0,-41.0,-41.0,22.0
2020-04-25,-59.0,-7.0,-67.0,-35.0,-27.0,17.0
2020-04-26,-65.0,-14.0,-67.0,-38.0,-24.0,16.0
2020-04-27,-56.0,-12.0,-64.0,-43.0,-40.0,20.0
2020-04-28,-57.0,-9.0,-63.0,-41.0,-42.0,17.0
2020-04-29,-57.0,-7.0,-61.0,-41.0,-41.0,21.0
2020-04-30,-53.0,7.0,-50.0,-38.0,-41.0,19.0
2020-05-01,-72.0,-10.0,-57.0,-52.0,-70.0,27.0
2020-05-02,-59.0,-5.0,-64.0,-38.0,-29.0,16.0
2020-05-03,-64.0,-12.0,-56.0,-37.0,-21.0,14.0
2020-05-04,-54.0,-5.0,-59.0,-40.0,-38.0,18.0
2020-05-05,-53.0,2.0,-58.0,-38.0,-39.0,18.0
2020-05-06,-53.0,4.0,-58.0,-37.0,-39.0,18.0
2020-05-07,-51.0,8.0,-53.0,-37.0,-39.0,18.0
2020-05-08,-48.0,20.0,-58.0,-32.0,-35.0,19.0
2020-05-09,-48.0,18.0,-59.0,-26.0,-21.0,15.0
2020-05-10,-55.0,11.0,-67.0,-20.0,-2.0,11.0
2020-05-11,-52.0,-3.0,-59.0,-38.0,-36.0,19.0
2020-05-12,-53.0,0.0,-58.0,-36.0,-38.0,19.0
2020-05-13,-53.0,-1.0,-57.0,-38.0,-38.0,20.0
2020-05-14,-54.0,-2.0,-54.0,-39.0,-38.0,19.0
2020-05-15,-54.0,4.0,-60.0,-38.0,-35.0,21.0
2020-05-16,-56.0,-1.0,-66.0,-33.0,-21.0,16.0
2020-05-17,-63.0,-9.0,-63.0,-37.0,-15.0,15.0
2020-05-18,-52.0,-7.0,-59.0,-40.0,-35.0,19.0
2020-05-19,-53.0,-4.0,-58.0,-39.0,-36.0,20.0
2020-05-20,-53.0,-2.0,-59.0,-39.0,-36.0,20.0
2020-05-21,-51.0,2.0,-50.0,-38.0,-36.0,20.0
2020-05-22,-51.0,8.0,-55.0,-35.0,-32.0,20.0
