date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,9.0,7.0,-2.0,10.0,6.0,-1.0
2020-02-16,4.0,5.0,-10.0,11.0,1.0,1.0
2020-02-17,-2.0,1.0,0.0,12.0,16.0,-1.0
2020-02-18,-1.0,0.0,7.0,13.0,18.0,-2.0
2020-02-19,-4.0,-3.0,-5.0,10.0,15.0,-1.0
2020-02-20,1.0,2.0,0.0,12.0,16.0,-1.0
2020-02-21,5.0,4.0,-2.0,13.0,16.0,-2.0
2020-02-22,-1.0,3.0,-11.0,5.0,1.0,1.0
2020-02-23,4.0,3.0,1.0,12.0,-2.0,0.0
2020-02-24,-3.0,0.0,25.0,-9.0,-35.0,6.0
2020-02-25,-23.0,-22.0,30.0,-16.0,-60.0,10.0
2020-02-26,-21.0,-14.0,-10.0,-17.0,-37.0,9.0
2020-02-27,-10.0,-4.0,-12.0,4.0,12.0,0.0
2020-02-28,-4.0,2.0,-12.0,7.0,16.0,0.0
2020-02-29,-2.0,7.0,-13.0,3.0,9.0,1.0
2020-03-01,-5.0,7.0,-12.0,2.0,1.0,2.0
2020-03-02,-6.0,5.0,-5.0,12.0,16.0,-1.0
2020-03-03,1.0,11.0,6.0,16.0,19.0,-3.0
2020-03-04,-4.0,3.0,-6.0,12.0,17.0,-2.0
2020-03-05,2.0,8.0,-4.0,15.0,17.0,-2.0
2020-03-06,9.0,11.0,-5.0,17.0,20.0,-2.0
2020-03-07,11.0,18.0,-4.0,14.0,7.0,-1.0
2020-03-08,11.0,13.0,-3.0,12.0,4.0,1.0
2020-03-09,0.0,7.0,5.0,19.0,19.0,-2.0
2020-03-10,1.0,7.0,6.0,19.0,20.0,-3.0
2020-03-11,-4.0,1.0,2.0,14.0,18.0,-2.0
2020-03-12,-4.0,-1.0,1.0,14.0,18.0,-1.0
2020-03-13,1.0,3.0,0.0,13.0,20.0,-2.0
2020-03-14,-12.0,-1.0,-30.0,-6.0,2.0,3.0
2020-03-15,-6.0,9.0,-10.0,3.0,2.0,2.0
2020-03-16,-7.0,5.0,-4.0,9.0,16.0,-1.0
2020-03-17,-13.0,6.0,-8.0,-3.0,6.0,2.0
2020-03-18,-21.0,0.0,-20.0,-9.0,-3.0,5.0
2020-03-19,-34.0,-12.0,-34.0,-23.0,-10.0,9.0
2020-03-20,-25.0,3.0,-27.0,-19.0,-9.0,8.0
2020-03-21,-40.0,2.0,-43.0,-25.0,-12.0,9.0
2020-03-22,-60.0,-15.0,-60.0,-39.0,-23.0,10.0
2020-03-23,-59.0,-22.0,-55.0,-43.0,-34.0,15.0
2020-03-24,-57.0,-17.0,-44.0,-40.0,-33.0,12.0
2020-03-25,-61.0,-25.0,-52.0,-46.0,-39.0,16.0
2020-03-26,-60.0,-26.0,-50.0,-45.0,-39.0,16.0
2020-03-27,-56.0,-22.0,-51.0,-42.0,-37.0,16.0
2020-03-28,-59.0,-21.0,-56.0,-42.0,-32.0,13.0
2020-03-29,-64.0,-28.0,-62.0,-46.0,-26.0,13.0
2020-03-30,-57.0,-23.0,-52.0,-46.0,-40.0,16.0
2020-03-31,-54.0,-17.0,-50.0,-45.0,-38.0,15.0
2020-04-01,-49.0,-5.0,-47.0,-41.0,-39.0,15.0
2020-04-02,-49.0,-9.0,-45.0,-41.0,-40.0,16.0
2020-04-03,-47.0,-6.0,-46.0,-35.0,-37.0,16.0
2020-04-04,-55.0,-9.0,-55.0,-38.0,-33.0,14.0
2020-04-05,-64.0,-21.0,-63.0,-47.0,-29.0,13.0
2020-04-06,-55.0,-12.0,-51.0,-43.0,-41.0,16.0
2020-04-07,-51.0,-7.0,-46.0,-40.0,-41.0,14.0
2020-04-08,-56.0,-17.0,-53.0,-47.0,-44.0,16.0
2020-04-09,-53.0,-9.0,-50.0,-44.0,-47.0,17.0
2020-04-10,-71.0,-36.0,-59.0,-60.0,-70.0,26.0
2020-04-11,-63.0,-19.0,-63.0,-50.0,-41.0,18.0
2020-04-12,-66.0,-23.0,-66.0,-51.0,-29.0,13.0
2020-04-13,-58.0,-21.0,-52.0,-45.0,-43.0,17.0
2020-04-14,-56.0,-20.0,-48.0,-46.0,-43.0,17.0
2020-04-15,-57.0,-19.0,-53.0,-46.0,-44.0,18.0
2020-04-16,-57.0,-21.0,-53.0,-45.0,-44.0,19.0
2020-04-17,-56.0,-16.0,-53.0,-43.0,-42.0,20.0
2020-04-18,-64.0,-18.0,-61.0,-45.0,-35.0,16.0
2020-04-19,-69.0,-25.0,-65.0,-49.0,-30.0,14.0
2020-04-20,-58.0,-14.0,-51.0,-43.0,-48.0,18.0
2020-04-21,-69.0,-29.0,-51.0,-56.0,-63.0,21.0
2020-04-22,-58.0,-16.0,-54.0,-42.0,-42.0,16.0
2020-04-23,-59.0,-19.0,-52.0,-44.0,-43.0,17.0
2020-04-24,-60.0,-21.0,-55.0,-43.0,-41.0,18.0
2020-04-25,-68.0,-26.0,-65.0,-50.0,-36.0,17.0
2020-04-26,-67.0,-18.0,-64.0,-45.0,-27.0,14.0
2020-04-27,-56.0,-13.0,-50.0,-40.0,-39.0,17.0
2020-04-28,-56.0,-12.0,-47.0,-41.0,-39.0,13.0
2020-04-29,-56.0,-11.0,-50.0,-39.0,-40.0,16.0
2020-04-30,-50.0,-1.0,-44.0,-36.0,-39.0,15.0
2020-05-01,-65.0,-18.0,-54.0,-52.0,-63.0,23.0
2020-05-02,-60.0,-12.0,-60.0,-44.0,-35.0,15.0
2020-05-03,-65.0,-18.0,-64.0,-45.0,-25.0,12.0
2020-05-04,-51.0,-4.0,-47.0,-38.0,-36.0,15.0
2020-05-05,-49.0,4.0,-43.0,-36.0,-36.0,15.0
2020-05-06,-51.0,3.0,-52.0,-38.0,-38.0,16.0
2020-05-07,-49.0,3.0,-46.0,-34.0,-37.0,17.0
2020-05-08,-48.0,2.0,-49.0,-33.0,-35.0,17.0
2020-05-09,-50.0,8.0,-53.0,-28.0,-26.0,14.0
2020-05-10,-58.0,-2.0,-62.0,-31.0,-8.0,10.0
2020-05-11,-53.0,-9.0,-47.0,-35.0,-36.0,15.0
2020-05-12,-53.0,-9.0,-44.0,-36.0,-35.0,15.0
2020-05-13,-55.0,-15.0,-51.0,-39.0,-37.0,17.0
2020-05-14,-54.0,-14.0,-50.0,-39.0,-37.0,15.0
2020-05-15,-52.0,-9.0,-48.0,-36.0,-34.0,17.0
2020-05-16,-55.0,-6.0,-54.0,-33.0,-26.0,14.0
2020-05-17,-63.0,-15.0,-60.0,-41.0,-18.0,12.0
2020-05-18,-53.0,-11.0,-49.0,-37.0,-33.0,16.0
2020-05-19,-50.0,-6.0,-44.0,-36.0,-32.0,15.0
2020-05-20,-49.0,-1.0,-46.0,-34.0,-33.0,15.0
2020-05-21,-48.0,-2.0,-44.0,-33.0,-32.0,17.0
2020-05-22,-47.0,0.0,-44.0,-31.0,-29.0,15.0
2020-05-23,-55.0,-10.0,-56.0,-36.0,-22.0,13.0
2020-05-24,-58.0,-1.0,-57.0,-34.0,-12.0,10.0
2020-05-25,-46.0,4.0,-41.0,-29.0,-29.0,14.0
2020-05-26,-45.0,3.0,-38.0,-29.0,-27.0,13.0
2020-05-27,-45.0,3.0,-41.0,-29.0,-27.0,13.0
2020-05-28,-44.0,2.0,-38.0,-29.0,-27.0,14.0
2020-05-29,-41.0,11.0,-39.0,-24.0,-23.0,15.0
