date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,-1.0,1.0,-17.0,0.0,5.0,1.0
2020-02-16,-4.0,-1.0,-11.0,-3.0,0.0,2.0
2020-02-17,-4.0,-2.0,-22.0,4.0,14.0,1.0
2020-02-18,-3.0,-2.0,-18.0,4.0,12.0,1.0
2020-02-19,-2.0,-4.0,-12.0,1.0,12.0,1.0
2020-02-20,4.0,3.0,3.0,5.0,8.0,0.0
2020-02-21,-1.0,5.0,-2.0,0.0,-3.0,2.0
2020-02-22,-4.0,2.0,15.0,6.0,-9.0,0.0
2020-02-23,5.0,5.0,35.0,-4.0,-6.0,1.0
2020-02-24,-17.0,-17.0,58.0,-28.0,-52.0,8.0
2020-02-25,-26.0,-33.0,56.0,-30.0,-61.0,6.0
2020-02-26,-17.0,-15.0,6.0,-17.0,-27.0,4.0
2020-02-27,-7.0,-4.0,-7.0,-4.0,10.0,1.0
2020-02-28,-7.0,0.0,-21.0,-7.0,11.0,2.0
2020-02-29,-9.0,1.0,-29.0,-11.0,3.0,4.0
2020-03-01,-13.0,-1.0,-28.0,-12.0,0.0,5.0
2020-03-02,-6.0,2.0,-24.0,4.0,17.0,1.0
2020-03-03,-5.0,0.0,-19.0,2.0,15.0,0.0
2020-03-04,-4.0,-2.0,-13.0,2.0,18.0,1.0
2020-03-05,-3.0,-1.0,-14.0,4.0,18.0,0.0
2020-03-06,-6.0,0.0,-30.0,2.0,16.0,1.0
2020-03-07,-4.0,2.0,-33.0,-7.0,3.0,4.0
2020-03-08,-11.0,-2.0,-35.0,-12.0,0.0,5.0
2020-03-09,-7.0,-1.0,-27.0,4.0,17.0,1.0
2020-03-10,-6.0,0.0,-24.0,3.0,15.0,0.0
2020-03-11,-5.0,-4.0,-16.0,4.0,18.0,0.0
2020-03-12,-7.0,-5.0,-20.0,1.0,17.0,1.0
2020-03-13,-6.0,0.0,-25.0,0.0,17.0,1.0
2020-03-14,-8.0,0.0,-31.0,-8.0,5.0,3.0
2020-03-15,-18.0,-4.0,-34.0,-17.0,0.0,5.0
2020-03-16,-13.0,1.0,-30.0,-5.0,14.0,2.0
2020-03-17,-17.0,1.0,-29.0,-16.0,7.0,3.0
2020-03-18,-25.0,-3.0,-30.0,-23.0,-3.0,7.0
2020-03-19,-33.0,-8.0,-38.0,-30.0,-13.0,9.0
2020-03-20,-40.0,-9.0,-51.0,-42.0,-18.0,11.0
2020-03-21,-60.0,-22.0,-64.0,-56.0,-28.0,14.0
2020-03-22,-73.0,-40.0,-72.0,-68.0,-34.0,16.0
2020-03-23,-67.0,-33.0,-66.0,-63.0,-43.0,18.0
2020-03-24,-71.0,-41.0,-65.0,-67.0,-51.0,19.0
2020-03-25,-71.0,-40.0,-61.0,-67.0,-50.0,20.0
2020-03-26,-70.0,-41.0,-60.0,-68.0,-50.0,20.0
2020-03-27,-69.0,-35.0,-65.0,-67.0,-48.0,21.0
2020-03-28,-70.0,-36.0,-67.0,-68.0,-42.0,19.0
2020-03-29,-73.0,-42.0,-71.0,-73.0,-33.0,17.0
2020-03-30,-62.0,-32.0,-61.0,-64.0,-43.0,19.0
2020-03-31,-60.0,-26.0,-56.0,-63.0,-43.0,17.0
2020-04-01,-59.0,-27.0,-53.0,-62.0,-41.0,17.0
2020-04-02,-59.0,-26.0,-51.0,-63.0,-41.0,17.0
2020-04-03,-60.0,-23.0,-58.0,-62.0,-39.0,19.0
2020-04-04,-63.0,-24.0,-62.0,-63.0,-35.0,17.0
2020-04-05,-70.0,-33.0,-68.0,-71.0,-31.0,16.0
2020-04-06,-59.0,-26.0,-60.0,-65.0,-39.0,18.0
2020-04-07,-53.0,-14.0,-52.0,-58.0,-38.0,15.0
2020-04-08,-52.0,-12.0,-46.0,-57.0,-36.0,15.0
2020-04-09,-49.0,-1.0,-44.0,-57.0,-38.0,14.0
2020-04-10,-79.0,-56.0,-65.0,-76.0,-69.0,23.0
2020-04-11,-64.0,-27.0,-64.0,-68.0,-40.0,17.0
2020-04-12,-69.0,-33.0,-68.0,-71.0,-30.0,15.0
2020-04-13,-59.0,-28.0,-62.0,-63.0,-38.0,18.0
2020-04-14,-56.0,-25.0,-56.0,-61.0,-37.0,16.0
2020-04-15,-55.0,-24.0,-51.0,-60.0,-35.0,17.0
2020-04-16,-55.0,-22.0,-47.0,-59.0,-35.0,16.0
2020-04-17,-57.0,-20.0,-56.0,-59.0,-34.0,18.0
2020-04-18,-63.0,-25.0,-63.0,-61.0,-31.0,16.0
2020-04-19,-70.0,-34.0,-68.0,-70.0,-28.0,16.0
2020-04-20,-55.0,-20.0,-56.0,-61.0,-37.0,17.0
2020-04-21,-74.0,-49.0,-62.0,-75.0,-64.0,22.0
2020-04-22,-53.0,-20.0,-48.0,-57.0,-32.0,15.0
2020-04-23,-59.0,-29.0,-53.0,-63.0,-35.0,17.0
2020-04-24,-58.0,-22.0,-59.0,-60.0,-33.0,18.0
2020-04-25,-60.0,-23.0,-62.0,-61.0,-28.0,16.0
2020-04-26,-70.0,-36.0,-68.0,-70.0,-26.0,16.0
2020-04-27,-55.0,-24.0,-58.0,-60.0,-31.0,17.0
2020-04-28,-52.0,-19.0,-52.0,-56.0,-32.0,12.0
2020-04-29,-53.0,-21.0,-49.0,-57.0,-30.0,15.0
2020-04-30,-46.0,-5.0,-42.0,-51.0,-28.0,13.0
2020-05-01,-73.0,-44.0,-61.0,-73.0,-62.0,23.0
2020-05-02,-57.0,-12.0,-57.0,-59.0,-27.0,15.0
2020-05-03,-67.0,-29.0,-63.0,-68.0,-22.0,14.0
2020-05-04,-52.0,-12.0,-54.0,-56.0,-28.0,15.0
2020-05-05,-50.0,-9.0,-48.0,-54.0,-29.0,14.0
2020-05-06,-49.0,-8.0,-43.0,-53.0,-27.0,15.0
2020-05-07,-47.0,-3.0,-40.0,-53.0,-27.0,14.0
2020-05-08,-49.0,-1.0,-52.0,-54.0,-26.0,16.0
2020-05-09,-54.0,-3.0,-58.0,-58.0,-23.0,15.0
2020-05-10,-65.0,-18.0,-65.0,-66.0,-11.0,13.0
2020-05-11,-53.0,-15.0,-55.0,-57.0,-28.0,16.0
2020-05-12,-52.0,-14.0,-52.0,-55.0,-30.0,15.0
2020-05-13,-54.0,-19.0,-49.0,-58.0,-29.0,16.0
2020-05-14,-53.0,-17.0,-46.0,-56.0,-28.0,14.0
2020-05-15,-54.0,-13.0,-54.0,-56.0,-27.0,17.0
2020-05-16,-59.0,-15.0,-58.0,-58.0,-23.0,16.0
2020-05-17,-70.0,-30.0,-66.0,-68.0,-20.0,15.0
2020-05-18,-54.0,-17.0,-54.0,-57.0,-28.0,16.0
2020-05-19,-57.0,-24.0,-57.0,-60.0,-31.0,16.0
