date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,-2.0,2.0,-23.0,1.0,4.0,1.0
2020-02-16,-8.0,2.0,-29.0,-2.0,-1.0,3.0
2020-02-17,-9.0,-4.0,-27.0,4.0,13.0,0.0
2020-02-18,-8.0,-3.0,-28.0,3.0,11.0,0.0
2020-02-19,-8.0,-6.0,-27.0,1.0,10.0,0.0
2020-02-20,-3.0,2.0,-22.0,2.0,8.0,0.0
2020-02-21,-5.0,10.0,-16.0,6.0,11.0,-1.0
2020-02-22,-22.0,3.0,-18.0,-13.0,-12.0,2.0
2020-02-23,-20.0,1.0,13.0,-19.0,-10.0,2.0
2020-02-24,-33.0,-22.0,55.0,-49.0,-59.0,10.0
2020-02-25,-37.0,-29.0,39.0,-49.0,-65.0,8.0
2020-02-26,-25.0,-19.0,-18.0,-26.0,-35.0,7.0
2020-02-27,-10.0,-6.0,-26.0,-5.0,5.0,1.0
2020-02-28,-13.0,-3.0,-30.0,-6.0,10.0,2.0
2020-02-29,-14.0,0.0,-39.0,-14.0,2.0,5.0
2020-03-01,-20.0,2.0,-42.0,-16.0,-4.0,6.0
2020-03-02,-12.0,0.0,-30.0,-1.0,14.0,0.0
2020-03-03,-8.0,3.0,-27.0,1.0,11.0,0.0
2020-03-04,-9.0,-2.0,-28.0,1.0,10.0,1.0
2020-03-05,-3.0,3.0,-19.0,2.0,11.0,0.0
2020-03-06,-1.0,6.0,-22.0,7.0,13.0,-1.0
2020-03-07,-7.0,2.0,-38.0,-5.0,2.0,3.0
2020-03-08,-2.0,6.0,-26.0,-3.0,1.0,3.0
2020-03-09,-9.0,-2.0,-24.0,3.0,15.0,0.0
2020-03-10,-6.0,2.0,-23.0,3.0,12.0,0.0
2020-03-11,-6.0,-4.0,-20.0,1.0,11.0,0.0
2020-03-12,-10.0,-8.0,-28.0,-1.0,10.0,0.0
2020-03-13,-12.0,-5.0,-33.0,2.0,12.0,1.0
2020-03-14,-16.0,-2.0,-41.0,-11.0,1.0,4.0
2020-03-15,-19.0,1.0,-38.0,-13.0,-2.0,5.0
2020-03-16,-17.0,2.0,-32.0,-6.0,11.0,1.0
2020-03-17,-20.0,8.0,-32.0,-15.0,0.0,3.0
2020-03-18,-25.0,3.0,-33.0,-23.0,-14.0,6.0
2020-03-19,-58.0,-20.0,-45.0,-56.0,-55.0,17.0
2020-03-20,-63.0,-3.0,-54.0,-44.0,-40.0,15.0
2020-03-21,-78.0,-29.0,-72.0,-60.0,-46.0,17.0
2020-03-22,-81.0,-36.0,-76.0,-63.0,-39.0,17.0
2020-03-23,-76.0,-34.0,-66.0,-68.0,-56.0,20.0
2020-03-24,-76.0,-36.0,-66.0,-70.0,-61.0,20.0
2020-03-25,-79.0,-44.0,-66.0,-76.0,-70.0,23.0
2020-03-26,-73.0,-32.0,-60.0,-69.0,-59.0,20.0
2020-03-27,-74.0,-32.0,-63.0,-68.0,-56.0,22.0
2020-03-28,-76.0,-34.0,-70.0,-68.0,-46.0,19.0
2020-03-29,-76.0,-34.0,-71.0,-68.0,-33.0,16.0
2020-03-30,-70.0,-33.0,-62.0,-67.0,-51.0,20.0
2020-03-31,-68.0,-25.0,-60.0,-67.0,-53.0,19.0
2020-04-01,-64.0,-16.0,-53.0,-64.0,-52.0,19.0
2020-04-02,-65.0,-20.0,-54.0,-65.0,-52.0,19.0
2020-04-03,-68.0,-19.0,-59.0,-64.0,-49.0,20.0
2020-04-04,-72.0,-21.0,-68.0,-65.0,-41.0,17.0
2020-04-05,-74.0,-28.0,-70.0,-66.0,-31.0,15.0
2020-04-06,-64.0,-19.0,-56.0,-62.0,-46.0,18.0
2020-04-07,-62.0,-13.0,-53.0,-61.0,-48.0,17.0
2020-04-08,-62.0,-14.0,-50.0,-62.0,-49.0,18.0
2020-04-09,-61.0,-6.0,-48.0,-62.0,-53.0,17.0
2020-04-10,-80.0,-41.0,-61.0,-76.0,-72.0,24.0
2020-04-11,-72.0,-24.0,-66.0,-66.0,-44.0,18.0
2020-04-12,-73.0,-29.0,-70.0,-67.0,-30.0,14.0
2020-04-13,-65.0,-27.0,-57.0,-64.0,-47.0,19.0
2020-04-14,-64.0,-24.0,-55.0,-63.0,-48.0,18.0
2020-04-15,-65.0,-25.0,-54.0,-64.0,-49.0,19.0
2020-04-16,-67.0,-21.0,-51.0,-63.0,-49.0,19.0
2020-04-17,-68.0,-19.0,-55.0,-62.0,-47.0,21.0
2020-04-18,-74.0,-23.0,-66.0,-62.0,-37.0,17.0
2020-04-19,-76.0,-29.0,-67.0,-65.0,-28.0,15.0
2020-04-20,-67.0,-22.0,-53.0,-62.0,-46.0,18.0
2020-04-21,-78.0,-40.0,-62.0,-75.0,-67.0,23.0
2020-04-22,-67.0,-25.0,-53.0,-62.0,-47.0,18.0
2020-04-23,-68.0,-26.0,-53.0,-63.0,-48.0,18.0
2020-04-24,-70.0,-23.0,-57.0,-63.0,-46.0,20.0
2020-04-25,-74.0,-25.0,-66.0,-63.0,-37.0,17.0
2020-04-26,-76.0,-30.0,-68.0,-66.0,-28.0,15.0
2020-04-27,-69.0,-27.0,-56.0,-63.0,-44.0,18.0
2020-04-28,-66.0,-19.0,-51.0,-61.0,-46.0,15.0
2020-04-29,-65.0,-19.0,-48.0,-61.0,-46.0,18.0
2020-04-30,-62.0,-6.0,-47.0,-60.0,-46.0,16.0
2020-05-01,-78.0,-34.0,-58.0,-73.0,-66.0,24.0
2020-05-02,-72.0,-14.0,-64.0,-63.0,-37.0,17.0
2020-05-03,-75.0,-25.0,-68.0,-66.0,-26.0,15.0
2020-05-04,-65.0,-16.0,-54.0,-62.0,-43.0,18.0
2020-05-05,-64.0,-9.0,-51.0,-60.0,-45.0,17.0
2020-05-06,-63.0,-8.0,-48.0,-59.0,-46.0,18.0
2020-05-07,-62.0,0.0,-47.0,-58.0,-46.0,18.0
2020-05-08,-71.0,-17.0,-57.0,-64.0,-47.0,21.0
2020-05-09,-75.0,-20.0,-67.0,-65.0,-39.0,19.0
2020-05-10,-75.0,-23.0,-70.0,-66.0,-19.0,15.0
2020-05-11,-71.0,-25.0,-57.0,-65.0,-47.0,20.0
2020-05-12,-69.0,-22.0,-56.0,-63.0,-49.0,20.0
2020-05-13,-69.0,-27.0,-55.0,-64.0,-49.0,21.0
2020-05-14,-69.0,-28.0,-56.0,-65.0,-50.0,20.0
2020-05-15,-72.0,-27.0,-61.0,-66.0,-48.0,22.0
2020-05-16,-76.0,-29.0,-71.0,-68.0,-39.0,20.0
2020-05-17,-77.0,-29.0,-73.0,-69.0,-25.0,17.0
2020-05-18,-69.0,-25.0,-57.0,-65.0,-45.0,20.0
2020-05-19,-68.0,-22.0,-61.0,-64.0,-47.0,20.0
2020-05-20,-68.0,-19.0,-78.0,-62.0,-47.0,20.0
2020-05-21,-68.0,-20.0,-78.0,-63.0,-48.0,21.0
2020-05-22,-69.0,-18.0,-80.0,-61.0,-44.0,21.0
2020-05-23,-74.0,-21.0,-84.0,-63.0,-34.0,18.0
2020-05-24,-77.0,-26.0,-83.0,-66.0,-22.0,16.0
2020-05-25,-67.0,-19.0,-79.0,-61.0,-42.0,20.0
2020-05-26,-66.0,-16.0,-79.0,-61.0,-44.0,18.0
2020-05-27,-68.0,-18.0,-78.0,-64.0,-49.0,20.0
2020-05-28,-68.0,-19.0,-77.0,-65.0,-50.0,21.0
2020-05-29,-65.0,-8.0,-79.0,-58.0,-40.0,20.0
