date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,3.0,5.0,-7.0,4.0,8.0,0.0
2020-02-16,1.0,2.0,-7.0,0.0,1.0,1.0
2020-02-17,-4.0,-1.0,-6.0,2.0,18.0,0.0
2020-02-18,-1.0,-2.0,-1.0,4.0,14.0,-1.0
2020-02-19,-2.0,-4.0,-7.0,1.0,13.0,0.0
2020-02-20,2.0,4.0,2.0,5.0,13.0,-1.0
2020-02-21,2.0,9.0,2.0,5.0,16.0,-2.0
2020-02-22,-3.0,6.0,19.0,-1.0,-1.0,0.0
2020-02-23,1.0,6.0,54.0,-6.0,-4.0,0.0
2020-02-24,-22.0,-8.0,45.0,-22.0,-48.0,10.0
2020-02-25,-31.0,-24.0,41.0,-24.0,-63.0,10.0
2020-02-26,-11.0,-10.0,-15.0,-12.0,-11.0,5.0
2020-02-27,-7.0,-1.0,-8.0,-3.0,10.0,0.0
2020-02-28,-7.0,3.0,-16.0,-5.0,15.0,1.0
2020-02-29,-5.0,4.0,-23.0,-7.0,6.0,4.0
2020-03-01,-2.0,7.0,-15.0,-6.0,3.0,4.0
2020-03-02,-5.0,1.0,-12.0,0.0,18.0,0.0
2020-03-03,0.0,2.0,-4.0,3.0,14.0,0.0
2020-03-04,1.0,2.0,-6.0,2.0,14.0,-1.0
2020-03-05,-1.0,4.0,-5.0,2.0,14.0,-1.0
2020-03-06,3.0,11.0,-7.0,6.0,18.0,-2.0
2020-03-07,8.0,14.0,-6.0,6.0,8.0,-1.0
2020-03-08,11.0,12.0,0.0,3.0,5.0,0.0
2020-03-09,2.0,6.0,-1.0,7.0,20.0,-2.0
2020-03-10,4.0,6.0,3.0,8.0,16.0,-2.0
2020-03-11,3.0,3.0,-4.0,4.0,15.0,-2.0
2020-03-12,1.0,4.0,0.0,5.0,13.0,-1.0
2020-03-13,0.0,7.0,-7.0,3.0,17.0,-1.0
2020-03-14,-2.0,7.0,-8.0,0.0,7.0,0.0
2020-03-15,-5.0,8.0,-1.0,-3.0,3.0,1.0
2020-03-16,-9.0,7.0,-6.0,-7.0,11.0,2.0
2020-03-17,-13.0,10.0,-9.0,-11.0,-1.0,5.0
2020-03-18,-20.0,6.0,-16.0,-18.0,-8.0,8.0
2020-03-19,-41.0,1.0,-22.0,-26.0,-19.0,12.0
2020-03-20,-54.0,-4.0,-38.0,-38.0,-27.0,17.0
2020-03-21,-68.0,-19.0,-49.0,-47.0,-36.0,18.0
2020-03-22,-73.0,-35.0,-56.0,-57.0,-34.0,17.0
2020-03-23,-67.0,-26.0,-42.0,-53.0,-43.0,22.0
2020-03-24,-68.0,-30.0,-42.0,-56.0,-51.0,24.0
2020-03-25,-69.0,-32.0,-45.0,-58.0,-52.0,24.0
2020-03-26,-67.0,-27.0,-36.0,-53.0,-51.0,24.0
2020-03-27,-67.0,-24.0,-42.0,-53.0,-47.0,24.0
2020-03-28,-70.0,-28.0,-51.0,-54.0,-41.0,19.0
2020-03-29,-67.0,-27.0,-44.0,-50.0,-28.0,15.0
2020-03-30,-57.0,-21.0,-31.0,-47.0,-40.0,20.0
2020-03-31,-55.0,-17.0,-26.0,-45.0,-42.0,20.0
2020-04-01,-54.0,-15.0,-28.0,-45.0,-42.0,20.0
2020-04-02,-54.0,-13.0,-24.0,-44.0,-42.0,20.0
2020-04-03,-56.0,-10.0,-32.0,-44.0,-38.0,21.0
2020-04-04,-59.0,-11.0,-38.0,-41.0,-32.0,16.0
2020-04-05,-61.0,-18.0,-37.0,-45.0,-25.0,13.0
2020-04-06,-49.0,-13.0,-31.0,-43.0,-32.0,17.0
2020-04-07,-46.0,-7.0,-26.0,-39.0,-35.0,17.0
2020-04-08,-45.0,-4.0,-25.0,-38.0,-36.0,16.0
2020-04-09,-42.0,9.0,-14.0,-35.0,-39.0,15.0
2020-04-10,-70.0,-28.0,-30.0,-51.0,-70.0,26.0
2020-04-11,-56.0,-4.0,-32.0,-39.0,-35.0,13.0
2020-04-12,-59.0,-17.0,-36.0,-41.0,-22.0,8.0
2020-04-13,-47.0,-14.0,-28.0,-39.0,-30.0,15.0
2020-04-14,-50.0,-18.0,-35.0,-44.0,-35.0,17.0
2020-04-15,-48.0,-13.0,-32.0,-41.0,-34.0,17.0
2020-04-16,-49.0,-12.0,-32.0,-42.0,-35.0,18.0
2020-04-17,-51.0,-8.0,-36.0,-42.0,-31.0,19.0
2020-04-18,-59.0,-13.0,-47.0,-44.0,-26.0,15.0
2020-04-19,-62.0,-16.0,-44.0,-46.0,-21.0,13.0
2020-04-20,-46.0,-10.0,-28.0,-41.0,-33.0,16.0
2020-04-21,-65.0,-29.0,-33.0,-51.0,-63.0,23.0
2020-04-22,-42.0,-13.0,-31.0,-39.0,-26.0,15.0
2020-04-23,-42.0,-10.0,-27.0,-36.0,-27.0,16.0
2020-04-24,-45.0,-7.0,-32.0,-36.0,-23.0,16.0
2020-04-25,-49.0,-7.0,-36.0,-33.0,-17.0,13.0
2020-04-26,-55.0,-13.0,-35.0,-37.0,-14.0,11.0
2020-04-27,-41.0,-11.0,-25.0,-35.0,-19.0,15.0
2020-04-28,-39.0,-9.0,-22.0,-32.0,-23.0,12.0
2020-04-29,-38.0,-8.0,-23.0,-33.0,-23.0,15.0
2020-04-30,-33.0,8.0,-12.0,-26.0,-23.0,12.0
2020-05-01,-62.0,-11.0,-21.0,-41.0,-60.0,22.0
2020-05-02,-49.0,-4.0,-27.0,-33.0,-22.0,12.0
2020-05-03,-54.0,-13.0,-28.0,-34.0,-12.0,9.0
2020-05-04,-37.0,-4.0,-22.0,-30.0,-16.0,13.0
2020-05-05,-34.0,-1.0,-16.0,-27.0,-20.0,14.0
2020-05-06,-33.0,1.0,-21.0,-27.0,-20.0,14.0
2020-05-07,-32.0,8.0,-18.0,-25.0,-21.0,14.0
2020-05-08,-32.0,14.0,-21.0,-23.0,-16.0,13.0
2020-05-09,-33.0,18.0,-26.0,-18.0,-10.0,10.0
2020-05-10,-42.0,16.0,-28.0,-14.0,8.0,6.0
2020-05-11,-34.0,-1.0,-21.0,-28.0,-16.0,13.0
2020-05-12,-32.0,1.0,-16.0,-26.0,-19.0,14.0
2020-05-13,-35.0,-4.0,-21.0,-30.0,-19.0,14.0
2020-05-14,-37.0,-3.0,-20.0,-31.0,-21.0,13.0
2020-05-15,-39.0,2.0,-24.0,-29.0,-16.0,15.0
2020-05-16,-44.0,2.0,-30.0,-26.0,-11.0,12.0
2020-05-17,-52.0,-7.0,-30.0,-31.0,-5.0,10.0
2020-05-18,-37.0,-7.0,-22.0,-31.0,-14.0,14.0
2020-05-19,-38.0,-5.0,-18.0,-28.0,-18.0,14.0
2020-05-20,-42.0,0.0,-17.0,-25.0,-18.0,15.0
2020-05-21,-42.0,3.0,-12.0,-24.0,-19.0,15.0
2020-05-22,-46.0,7.0,-20.0,-22.0,-15.0,14.0
2020-05-23,-52.0,2.0,-30.0,-23.0,-10.0,12.0
2020-05-24,-62.0,-5.0,-36.0,-31.0,-6.0,11.0
2020-05-25,-42.0,0.0,-21.0,-26.0,-13.0,14.0
2020-05-26,-41.0,0.0,-17.0,-23.0,-15.0,14.0
2020-05-27,-41.0,2.0,-18.0,-23.0,-15.0,14.0
2020-05-28,-41.0,5.0,-14.0,-22.0,-16.0,14.0
2020-05-29,-41.0,14.0,-18.0,-19.0,-12.0,14.0
