date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,-3.0,0.0,-8.0,-7.0,2.0,1.0
2020-02-16,-3.0,2.0,-8.0,-6.0,1.0,2.0
2020-02-17,-4.0,-3.0,-6.0,-7.0,12.0,1.0
2020-02-18,0.0,4.0,1.0,-2.0,13.0,-1.0
2020-02-19,-3.0,0.0,-8.0,0.0,10.0,0.0
2020-02-20,-2.0,6.0,-2.0,2.0,10.0,0.0
2020-02-21,-1.0,10.0,-14.0,10.0,9.0,0.0
2020-02-22,-3.0,12.0,-4.0,18.0,-3.0,0.0
2020-02-23,-1.0,9.0,47.0,-8.0,-1.0,-1.0
2020-02-24,-20.0,-7.0,71.0,-40.0,-46.0,6.0
2020-02-25,-29.0,-25.0,68.0,-34.0,-57.0,6.0
2020-02-26,-19.0,-16.0,12.0,-8.0,-35.0,5.0
2020-02-27,-11.0,-2.0,-8.0,-5.0,5.0,2.0
2020-02-28,-8.0,3.0,-16.0,-14.0,9.0,2.0
2020-02-29,-7.0,6.0,-24.0,-14.0,3.0,4.0
2020-03-01,-10.0,4.0,-16.0,-8.0,0.0,5.0
2020-03-02,-4.0,4.0,-4.0,-5.0,14.0,0.0
2020-03-03,-5.0,3.0,-9.0,-6.0,13.0,0.0
2020-03-04,-4.0,4.0,-10.0,-1.0,12.0,0.0
2020-03-05,-5.0,4.0,-5.0,-2.0,12.0,0.0
2020-03-06,2.0,8.0,-9.0,-3.0,15.0,0.0
2020-03-07,2.0,10.0,-20.0,-9.0,5.0,2.0
2020-03-08,5.0,9.0,-13.0,-8.0,5.0,2.0
2020-03-09,-11.0,-7.0,-15.0,-6.0,14.0,1.0
2020-03-10,3.0,10.0,-2.0,-4.0,15.0,-2.0
2020-03-11,-1.0,3.0,-10.0,-2.0,13.0,-1.0
2020-03-12,-5.0,2.0,-7.0,-3.0,13.0,0.0
2020-03-13,-6.0,0.0,-17.0,-4.0,14.0,0.0
2020-03-14,-7.0,3.0,-27.0,-12.0,4.0,2.0
2020-03-15,-13.0,2.0,-22.0,-13.0,0.0,4.0
2020-03-16,-10.0,1.0,-12.0,-12.0,10.0,0.0
2020-03-17,-10.0,10.0,-11.0,-11.0,2.0,1.0
2020-03-18,-16.0,5.0,-19.0,-16.0,-6.0,4.0
2020-03-19,-27.0,1.0,-25.0,-23.0,-12.0,6.0
2020-03-20,-34.0,1.0,-40.0,-29.0,-13.0,8.0
2020-03-21,-50.0,1.0,-51.0,-40.0,-15.0,9.0
2020-03-22,-64.0,-18.0,-56.0,-55.0,-22.0,11.0
2020-03-23,-60.0,-18.0,-43.0,-58.0,-37.0,14.0
2020-03-24,-64.0,-27.0,-49.0,-62.0,-45.0,15.0
2020-03-25,-66.0,-30.0,-53.0,-64.0,-48.0,17.0
2020-03-26,-64.0,-26.0,-46.0,-64.0,-45.0,15.0
2020-03-27,-63.0,-25.0,-51.0,-66.0,-43.0,16.0
2020-03-28,-63.0,-23.0,-51.0,-64.0,-33.0,13.0
2020-03-29,-63.0,-27.0,-48.0,-66.0,-20.0,11.0
2020-03-30,-56.0,-20.0,-40.0,-64.0,-38.0,14.0
2020-03-31,-55.0,-18.0,-41.0,-60.0,-38.0,14.0
2020-04-01,-54.0,-13.0,-44.0,-59.0,-39.0,15.0
2020-04-02,-53.0,-12.0,-39.0,-60.0,-38.0,15.0
2020-04-03,-54.0,-11.0,-45.0,-61.0,-36.0,16.0
2020-04-04,-57.0,-10.0,-49.0,-62.0,-26.0,14.0
2020-04-05,-59.0,-18.0,-48.0,-64.0,-18.0,12.0
2020-04-06,-48.0,-8.0,-34.0,-59.0,-33.0,15.0
2020-04-07,-43.0,2.0,-29.0,-55.0,-33.0,12.0
2020-04-08,-49.0,-4.0,-39.0,-58.0,-36.0,13.0
2020-04-09,-49.0,8.0,-31.0,-61.0,-42.0,12.0
2020-04-10,-76.0,-70.0,-50.0,-80.0,-67.0,21.0
2020-04-11,-57.0,-10.0,-46.0,-68.0,-34.0,13.0
2020-04-12,-60.0,-25.0,-49.0,-69.0,-20.0,10.0
2020-04-13,-49.0,-18.0,-37.0,-62.0,-33.0,15.0
2020-04-14,-52.0,-22.0,-43.0,-59.0,-35.0,15.0
2020-04-15,-47.0,-12.0,-37.0,-59.0,-34.0,15.0
2020-04-16,-53.0,-19.0,-44.0,-61.0,-35.0,16.0
2020-04-17,-53.0,-19.0,-48.0,-63.0,-34.0,17.0
2020-04-18,-57.0,-17.0,-51.0,-63.0,-24.0,14.0
2020-04-19,-61.0,-25.0,-50.0,-68.0,-18.0,13.0
2020-04-20,-49.0,-14.0,-37.0,-64.0,-33.0,15.0
2020-04-21,-67.0,-35.0,-51.0,-74.0,-56.0,19.0
2020-04-22,-49.0,-15.0,-41.0,-60.0,-34.0,14.0
2020-04-23,-53.0,-18.0,-42.0,-63.0,-35.0,16.0
2020-04-24,-54.0,-18.0,-48.0,-63.0,-33.0,17.0
2020-04-25,-57.0,-17.0,-52.0,-65.0,-24.0,14.0
2020-04-26,-62.0,-25.0,-51.0,-67.0,-17.0,13.0
2020-04-27,-51.0,-18.0,-39.0,-63.0,-32.0,16.0
2020-04-28,-48.0,-10.0,-37.0,-61.0,-33.0,11.0
2020-04-29,-50.0,-9.0,-40.0,-58.0,-35.0,14.0
2020-04-30,-52.0,6.0,-32.0,-58.0,-34.0,13.0
2020-05-01,-72.0,-52.0,-54.0,-73.0,-59.0,21.0
2020-05-02,-59.0,0.0,-46.0,-63.0,-25.0,13.0
2020-05-03,-65.0,-15.0,-48.0,-65.0,-18.0,11.0
2020-05-04,-51.0,3.0,-31.0,-59.0,-32.0,13.0
2020-05-05,-62.0,-15.0,-40.0,-68.0,-40.0,15.0
2020-05-06,-60.0,-9.0,-42.0,-66.0,-40.0,16.0
2020-05-07,-59.0,-5.0,-40.0,-67.0,-40.0,17.0
2020-05-08,-59.0,-5.0,-45.0,-65.0,-38.0,19.0
2020-05-09,-62.0,-4.0,-49.0,-68.0,-28.0,17.0
2020-05-10,-64.0,-11.0,-50.0,-71.0,-10.0,13.0
2020-05-11,-60.0,-17.0,-39.0,-68.0,-39.0,19.0
2020-05-12,-58.0,-13.0,-39.0,-64.0,-40.0,17.0
2020-05-13,-61.0,-17.0,-43.0,-66.0,-41.0,19.0
2020-05-14,-63.0,-18.0,-42.0,-66.0,-41.0,18.0
2020-05-15,-68.0,-23.0,-53.0,-73.0,-50.0,23.0
2020-05-16,-66.0,-16.0,-54.0,-69.0,-29.0,18.0
2020-05-17,-69.0,-22.0,-52.0,-72.0,-19.0,15.0
2020-05-18,-54.0,-8.0,-33.0,-62.0,-33.0,17.0
2020-05-19,-53.0,-8.0,-35.0,-59.0,-34.0,16.0
2020-05-20,-54.0,-6.0,-36.0,-58.0,-35.0,17.0
2020-05-21,-56.0,-8.0,-38.0,-59.0,-35.0,18.0
2020-05-22,-55.0,-5.0,-41.0,-59.0,-32.0,18.0
2020-05-23,-59.0,-7.0,-46.0,-62.0,-21.0,15.0
2020-05-24,-63.0,-14.0,-42.0,-66.0,-14.0,14.0
2020-05-25,-50.0,-3.0,-28.0,-58.0,-29.0,17.0
2020-05-26,-49.0,-2.0,-29.0,-53.0,-30.0,15.0
2020-05-27,-50.0,0.0,-31.0,-52.0,-30.0,16.0
2020-05-28,-50.0,0.0,-29.0,-55.0,-30.0,16.0
2020-05-29,-50.0,5.0,-36.0,-54.0,-28.0,17.0
