date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,2.0,4.0,-20.0,6.0,4.0,1.0
2020-02-16,-7.0,4.0,-26.0,9.0,-1.0,3.0
2020-02-17,-7.0,-2.0,-13.0,7.0,17.0,-1.0
2020-02-18,-3.0,-3.0,-16.0,0.0,16.0,-1.0
2020-02-19,-4.0,-2.0,-14.0,3.0,14.0,-1.0
2020-02-20,-4.0,0.0,-22.0,3.0,11.0,0.0
2020-02-21,0.0,9.0,-20.0,6.0,14.0,-1.0
2020-02-22,-3.0,8.0,-11.0,-2.0,-5.0,0.0
2020-02-23,-6.0,3.0,0.0,-19.0,-7.0,2.0
2020-02-24,-23.0,-20.0,61.0,-38.0,-52.0,7.0
2020-02-25,-26.0,-39.0,76.0,-34.0,-60.0,4.0
2020-02-26,-19.0,-13.0,-5.0,-13.0,-23.0,3.0
2020-02-27,-9.0,-1.0,-17.0,-3.0,12.0,0.0
2020-02-28,-7.0,4.0,-26.0,-6.0,15.0,1.0
2020-02-29,-2.0,8.0,-26.0,-4.0,2.0,3.0
2020-03-01,-17.0,3.0,-42.0,-14.0,-5.0,6.0
2020-03-02,-7.0,3.0,-30.0,-2.0,20.0,-1.0
2020-03-03,-4.0,3.0,-21.0,-1.0,17.0,-1.0
2020-03-04,-4.0,1.0,-21.0,0.0,16.0,-1.0
2020-03-05,-2.0,4.0,-14.0,1.0,18.0,-2.0
2020-03-06,1.0,7.0,-20.0,1.0,19.0,-1.0
2020-03-07,6.0,10.0,-26.0,-1.0,3.0,2.0
2020-03-08,3.0,7.0,-22.0,-2.0,1.0,3.0
2020-03-09,-6.0,2.0,-23.0,-2.0,20.0,-1.0
2020-03-10,-1.0,2.0,-16.0,1.0,19.0,-2.0
2020-03-11,-5.0,-2.0,-17.0,-1.0,17.0,-1.0
2020-03-12,-9.0,-4.0,-25.0,-3.0,16.0,-1.0
2020-03-13,-8.0,1.0,-30.0,-2.0,18.0,0.0
2020-03-14,-4.0,4.0,-30.0,-3.0,3.0,2.0
2020-03-15,-17.0,1.0,-40.0,-11.0,-2.0,5.0
2020-03-16,-14.0,1.0,-32.0,-4.0,18.0,0.0
2020-03-17,-15.0,7.0,-25.0,-9.0,12.0,1.0
2020-03-18,-24.0,2.0,-30.0,-16.0,-6.0,6.0
2020-03-19,-31.0,-1.0,-32.0,-24.0,-13.0,8.0
2020-03-20,-44.0,5.0,-47.0,-29.0,-18.0,11.0
2020-03-21,-60.0,-8.0,-65.0,-43.0,-26.0,13.0
2020-03-22,-77.0,-32.0,-76.0,-58.0,-35.0,18.0
2020-03-23,-75.0,-32.0,-66.0,-64.0,-47.0,19.0
2020-03-24,-75.0,-37.0,-60.0,-64.0,-53.0,19.0
2020-03-25,-75.0,-37.0,-60.0,-66.0,-55.0,20.0
2020-03-26,-73.0,-33.0,-56.0,-61.0,-53.0,19.0
2020-03-27,-72.0,-31.0,-61.0,-65.0,-49.0,20.0
2020-03-28,-72.0,-29.0,-67.0,-61.0,-40.0,17.0
2020-03-29,-76.0,-36.0,-73.0,-64.0,-33.0,17.0
2020-03-30,-68.0,-28.0,-62.0,-64.0,-46.0,18.0
2020-03-31,-63.0,-21.0,-54.0,-61.0,-46.0,16.0
2020-04-01,-63.0,-20.0,-52.0,-60.0,-46.0,17.0
2020-04-02,-64.0,-19.0,-53.0,-61.0,-45.0,17.0
2020-04-03,-64.0,-15.0,-59.0,-58.0,-42.0,18.0
2020-04-04,-66.0,-15.0,-66.0,-58.0,-35.0,15.0
2020-04-05,-72.0,-28.0,-70.0,-60.0,-29.0,16.0
2020-04-06,-62.0,-17.0,-56.0,-60.0,-40.0,16.0
2020-04-07,-59.0,-13.0,-49.0,-59.0,-41.0,15.0
2020-04-08,-59.0,-9.0,-46.0,-57.0,-42.0,15.0
2020-04-09,-58.0,-2.0,-44.0,-57.0,-45.0,15.0
2020-04-10,-78.0,-47.0,-60.0,-68.0,-66.0,22.0
2020-04-11,-63.0,-11.0,-63.0,-57.0,-35.0,15.0
2020-04-12,-70.0,-24.0,-68.0,-58.0,-24.0,14.0
2020-04-13,-61.0,-22.0,-55.0,-59.0,-38.0,16.0
2020-04-14,-60.0,-22.0,-50.0,-60.0,-40.0,16.0
2020-04-15,-62.0,-23.0,-52.0,-59.0,-41.0,17.0
2020-04-16,-67.0,-20.0,-56.0,-61.0,-41.0,17.0
2020-04-17,-66.0,-13.0,-57.0,-57.0,-37.0,17.0
2020-04-18,-70.0,-15.0,-66.0,-54.0,-29.0,14.0
