date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,4.0,1.0,-8.0,3.0,2.0,1.0
2020-02-16,-2.0,1.0,-15.0,-2.0,-3.0,2.0
2020-02-17,-2.0,-1.0,-14.0,2.0,10.0,1.0
2020-02-18,-3.0,0.0,-20.0,4.0,11.0,1.0
2020-02-19,1.0,2.0,1.0,4.0,12.0,0.0
2020-02-20,1.0,2.0,-4.0,9.0,11.0,-1.0
2020-02-21,3.0,8.0,-8.0,13.0,10.0,-1.0
2020-02-22,-3.0,5.0,4.0,12.0,-6.0,0.0
2020-02-23,4.0,6.0,19.0,-4.0,-3.0,3.0
2020-02-24,-16.0,-5.0,68.0,-27.0,-41.0,7.0
2020-02-25,-41.0,-35.0,18.0,-31.0,-56.0,10.0
2020-02-26,-9.0,2.0,-10.0,-3.0,1.0,2.0
2020-02-27,-4.0,0.0,-5.0,3.0,11.0,1.0
2020-02-28,2.0,4.0,-8.0,3.0,12.0,0.0
2020-02-29,4.0,7.0,-10.0,2.0,4.0,2.0
2020-03-01,1.0,8.0,-14.0,-1.0,0.0,4.0
2020-03-02,2.0,3.0,-13.0,6.0,18.0,0.0
2020-03-03,3.0,5.0,-13.0,8.0,17.0,-1.0
2020-03-04,3.0,6.0,-2.0,7.0,17.0,-1.0
2020-03-05,3.0,3.0,-3.0,9.0,17.0,-1.0
2020-03-06,13.0,11.0,-7.0,14.0,18.0,-2.0
2020-03-07,17.0,15.0,-8.0,11.0,7.0,0.0
2020-03-08,14.0,10.0,-14.0,5.0,2.0,2.0
2020-03-09,6.0,4.0,-7.0,11.0,20.0,-1.0
2020-03-10,3.0,6.0,-14.0,11.0,19.0,-1.0
2020-03-11,3.0,5.0,-3.0,9.0,18.0,-1.0
2020-03-12,2.0,3.0,-8.0,12.0,17.0,-1.0
2020-03-13,2.0,3.0,-12.0,9.0,17.0,-1.0
