date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,7.0,6.0,4.0,13.0,6.0,-1.0
2020-02-16,-4.0,-2.0,-14.0,6.0,-1.0,1.0
2020-02-17,4.0,7.0,-13.0,13.0,20.0,-2.0
2020-02-18,1.0,0.0,-4.0,12.0,15.0,-2.0
2020-02-19,3.0,6.0,-6.0,12.0,14.0,-2.0
2020-02-20,3.0,10.0,11.0,13.0,15.0,-3.0
2020-02-21,5.0,14.0,5.0,8.0,2.0,1.0
2020-02-22,-8.0,7.0,11.0,9.0,-10.0,1.0
2020-02-23,8.0,11.0,53.0,23.0,-2.0,1.0
2020-02-24,-18.0,-5.0,96.0,-27.0,-56.0,9.0
2020-02-25,-29.0,-38.0,112.0,-33.0,-66.0,10.0
2020-02-26,-26.0,-13.0,7.0,-32.0,-46.0,7.0
2020-02-27,-18.0,-5.0,-27.0,-12.0,-7.0,5.0
2020-02-28,-6.0,3.0,-26.0,-5.0,-3.0,5.0
2020-02-29,-8.0,3.0,-29.0,-4.0,-1.0,4.0
2020-03-01,-31.0,-16.0,-65.0,-22.0,-12.0,8.0
2020-03-02,-14.0,0.0,-46.0,-3.0,13.0,3.0
2020-03-03,-7.0,1.0,-29.0,5.0,13.0,1.0
2020-03-04,-3.0,7.0,-27.0,6.0,14.0,0.0
2020-03-05,0.0,7.0,-11.0,9.0,18.0,-1.0
2020-03-06,14.0,13.0,-7.0,17.0,21.0,-2.0
2020-03-07,10.0,12.0,-11.0,11.0,7.0,0.0
2020-03-08,6.0,7.0,-10.0,6.0,2.0,1.0
2020-03-09,5.0,9.0,-12.0,14.0,22.0,-2.0
2020-03-10,1.0,3.0,-7.0,12.0,16.0,-1.0
2020-03-11,1.0,5.0,-12.0,10.0,15.0,-1.0
2020-03-12,-3.0,4.0,-4.0,9.0,17.0,-1.0
2020-03-13,7.0,13.0,-5.0,13.0,19.0,-1.0
2020-03-14,-7.0,11.0,-13.0,-3.0,3.0,2.0
2020-03-15,-17.0,5.0,-17.0,-10.0,-2.0,3.0
2020-03-16,-15.0,8.0,-25.0,-11.0,0.0,4.0
2020-03-17,-31.0,1.0,-40.0,-26.0,-13.0,9.0
2020-03-18,-38.0,1.0,-43.0,-34.0,-21.0,11.0
2020-03-19,-46.0,-6.0,-45.0,-41.0,-26.0,14.0
2020-03-20,-47.0,-5.0,-55.0,-43.0,-29.0,16.0
