date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,7.0,7.0,3.0,0.0,6.0,1.0
2020-02-16,2.0,6.0,-3.0,-14.0,1.0,2.0
2020-02-17,0.0,2.0,6.0,-1.0,21.0,-2.0
2020-02-18,-3.0,-5.0,-3.0,-7.0,20.0,-1.0
2020-02-19,-10.0,-9.0,-10.0,-11.0,18.0,0.0
2020-02-20,-1.0,-3.0,5.0,-7.0,19.0,-1.0
2020-02-21,1.0,3.0,-11.0,0.0,21.0,-1.0
2020-02-22,6.0,8.0,10.0,8.0,-2.0,1.0
2020-02-23,0.0,5.0,3.0,-27.0,-3.0,1.0
2020-02-24,-1.0,1.0,12.0,-33.0,-25.0,4.0
2020-02-25,-28.0,-23.0,19.0,-30.0,-53.0,9.0
2020-02-26,-14.0,-11.0,-5.0,-12.0,-8.0,5.0
2020-02-27,-8.0,-5.0,-11.0,-11.0,17.0,1.0
2020-02-28,1.0,5.0,-11.0,-9.0,25.0,0.0
2020-02-29,7.0,9.0,-6.0,-7.0,7.0,2.0
2020-03-01,5.0,7.0,-9.0,-13.0,3.0,3.0
2020-03-02,4.0,7.0,0.0,-6.0,23.0,-2.0
2020-03-03,-5.0,-1.0,-11.0,-11.0,19.0,0.0
2020-03-04,-1.0,3.0,-7.0,-9.0,23.0,-1.0
2020-03-05,4.0,5.0,-1.0,-7.0,22.0,-2.0
2020-03-06,11.0,13.0,-1.0,-2.0,27.0,-2.0
2020-03-07,14.0,18.0,-4.0,-2.0,10.0,0.0
2020-03-08,17.0,21.0,1.0,-7.0,7.0,1.0
2020-03-09,6.0,8.0,1.0,-7.0,25.0,-2.0
2020-03-10,3.0,3.0,-4.0,-8.0,22.0,-2.0
2020-03-11,-3.0,0.0,-8.0,-12.0,22.0,-1.0
2020-03-12,-2.0,0.0,-3.0,-9.0,21.0,-1.0
2020-03-13,3.0,6.0,-5.0,-3.0,26.0,-1.0
2020-03-14,6.0,9.0,-6.0,-3.0,8.0,1.0
2020-03-15,-1.0,10.0,4.0,-17.0,5.0,2.0
2020-03-16,-5.0,8.0,-1.0,-11.0,23.0,-2.0
2020-03-17,-10.0,9.0,-5.0,-11.0,9.0,2.0
2020-03-18,-21.0,-1.0,-18.0,-21.0,0.0,6.0
2020-03-19,-20.0,3.0,-10.0,-23.0,-3.0,5.0
2020-03-20,-28.0,6.0,-28.0,-27.0,-5.0,8.0
2020-03-21,-55.0,-3.0,-42.0,-34.0,-21.0,12.0
2020-03-22,-70.0,-33.0,-53.0,-59.0,-30.0,14.0
2020-03-23,-61.0,-24.0,-36.0,-57.0,-35.0,15.0
2020-03-24,-66.0,-33.0,-43.0,-61.0,-41.0,17.0
2020-03-25,-65.0,-33.0,-37.0,-63.0,-41.0,17.0
2020-03-26,-61.0,-33.0,-36.0,-63.0,-39.0,17.0
2020-03-27,-55.0,-22.0,-33.0,-63.0,-33.0,16.0
2020-03-28,-58.0,-21.0,-32.0,-66.0,-30.0,13.0
2020-03-29,-63.0,-27.0,-42.0,-71.0,-23.0,12.0
2020-03-30,-48.0,-20.0,-35.0,-58.0,-29.0,13.0
2020-03-31,-45.0,-16.0,-27.0,-57.0,-28.0,12.0
2020-04-01,-48.0,-16.0,-27.0,-57.0,-28.0,13.0
2020-04-02,-46.0,-14.0,-24.0,-59.0,-28.0,13.0
2020-04-03,-45.0,-9.0,-29.0,-57.0,-24.0,13.0
2020-04-04,-49.0,-5.0,-25.0,-59.0,-20.0,10.0
2020-04-05,-56.0,-11.0,-30.0,-66.0,-18.0,9.0
2020-04-06,-37.0,-8.0,-30.0,-54.0,-22.0,11.0
2020-04-07,-34.0,-2.0,-18.0,-55.0,-21.0,10.0
2020-04-08,-38.0,-8.0,-24.0,-57.0,-21.0,11.0
2020-04-09,-36.0,1.0,-23.0,-52.0,-24.0,10.0
2020-04-10,-66.0,-29.0,-26.0,-67.0,-64.0,19.0
2020-04-11,-44.0,-2.0,-27.0,-64.0,-23.0,11.0
2020-04-12,-54.0,-14.0,-33.0,-66.0,-14.0,7.0
2020-04-13,-33.0,-12.0,-22.0,-58.0,-18.0,10.0
2020-04-14,-41.0,-19.0,-32.0,-59.0,-20.0,12.0
2020-04-15,-44.0,-19.0,-33.0,-62.0,-21.0,13.0
2020-04-16,-40.0,-14.0,-27.0,-61.0,-20.0,12.0
2020-04-17,-39.0,-8.0,-28.0,-58.0,-16.0,14.0
2020-04-18,-46.0,-7.0,-28.0,-61.0,-14.0,10.0
2020-04-19,-56.0,-14.0,-33.0,-71.0,-16.0,9.0
2020-04-20,-33.0,-6.0,-18.0,-60.0,-19.0,10.0
2020-04-21,-63.0,-32.0,-23.0,-69.0,-58.0,17.0
2020-04-22,-39.0,-14.0,-28.0,-60.0,-17.0,11.0
2020-04-23,-40.0,-15.0,-27.0,-62.0,-17.0,12.0
2020-04-24,-37.0,-8.0,-26.0,-58.0,-12.0,12.0
2020-04-25,-41.0,-6.0,-27.0,-61.0,-12.0,9.0
2020-04-26,-53.0,-12.0,-29.0,-68.0,-13.0,9.0
2020-04-27,-33.0,-11.0,-25.0,-58.0,-13.0,11.0
2020-04-28,-30.0,-6.0,-21.0,-57.0,-14.0,7.0
2020-04-29,-34.0,-8.0,-20.0,-56.0,-14.0,11.0
2020-04-30,-28.0,9.0,-17.0,-52.0,-13.0,8.0
2020-05-01,-63.0,-38.0,-14.0,-68.0,-59.0,18.0
2020-05-02,-38.0,5.0,-22.0,-57.0,-14.0,9.0
2020-05-03,-52.0,-8.0,-25.0,-63.0,-11.0,8.0
2020-05-04,-27.0,2.0,-21.0,-50.0,-11.0,9.0
2020-05-05,-30.0,-1.0,-26.0,-53.0,-13.0,10.0
2020-05-06,-33.0,-2.0,-28.0,-51.0,-13.0,11.0
2020-05-07,-27.0,10.0,-23.0,-53.0,-14.0,11.0
2020-05-08,-22.0,16.0,-20.0,-49.0,-8.0,11.0
2020-05-09,-23.0,22.0,-18.0,-50.0,-6.0,9.0
2020-05-10,-44.0,12.0,-24.0,-64.0,5.0,5.0
2020-05-11,-29.0,-1.0,-19.0,-55.0,-12.0,10.0
2020-05-12,-33.0,-4.0,-22.0,-52.0,-13.0,11.0
2020-05-13,-38.0,-10.0,-24.0,-55.0,-15.0,12.0
2020-05-14,-40.0,-11.0,-30.0,-60.0,-16.0,12.0
2020-05-15,-36.0,-1.0,-23.0,-56.0,-10.0,13.0
2020-05-16,-40.0,0.0,-24.0,-60.0,-8.0,10.0
2020-05-17,-53.0,-8.0,-25.0,-70.0,-7.0,9.0
2020-05-18,-34.0,-6.0,-19.0,-57.0,-11.0,11.0
