date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,5.0,1.0,-22.0,-11.0,5.0,0.0
2020-02-16,-2.0,0.0,-1.0,-19.0,0.0,2.0
2020-02-17,-5.0,-1.0,-19.0,-9.0,10.0,0.0
2020-02-18,-3.0,-3.0,-16.0,-6.0,10.0,0.0
2020-02-19,-4.0,-6.0,-12.0,-7.0,10.0,-1.0
2020-02-20,4.0,2.0,-3.0,-1.0,10.0,-1.0
2020-02-21,-1.0,7.0,-11.0,4.0,9.0,0.0
2020-02-22,-8.0,7.0,-1.0,7.0,-7.0,0.0
2020-02-23,-14.0,1.0,39.0,-39.0,-8.0,0.0
2020-02-24,-26.0,-24.0,93.0,-53.0,-59.0,7.0
2020-02-25,-35.0,-52.0,83.0,-49.0,-68.0,4.0
2020-02-26,-21.0,-19.0,-5.0,-15.0,-37.0,4.0
2020-02-27,-7.0,-2.0,-8.0,-10.0,6.0,1.0
2020-02-28,-9.0,2.0,-23.0,-18.0,11.0,1.0
2020-02-29,-8.0,4.0,-29.0,-19.0,1.0,5.0
2020-03-01,-11.0,7.0,-22.0,-20.0,-1.0,4.0
2020-03-02,-7.0,5.0,-15.0,-14.0,11.0,0.0
2020-03-03,-5.0,4.0,-12.0,-6.0,10.0,0.0
2020-03-04,-5.0,1.0,-6.0,-7.0,10.0,0.0
2020-03-05,-2.0,3.0,-1.0,-11.0,12.0,0.0
2020-03-06,-3.0,4.0,-15.0,-11.0,16.0,0.0
2020-03-07,0.0,9.0,-16.0,-11.0,5.0,2.0
2020-03-08,-2.0,11.0,0.0,-18.0,2.0,2.0
2020-03-09,-7.0,2.0,-15.0,-11.0,12.0,0.0
2020-03-10,-4.0,3.0,-9.0,-11.0,11.0,-1.0
2020-03-11,-4.0,-2.0,-8.0,-19.0,11.0,0.0
2020-03-12,-1.0,0.0,1.0,-15.0,11.0,-1.0
2020-03-13,-5.0,1.0,-17.0,-13.0,15.0,-1.0
2020-03-14,-4.0,4.0,-23.0,-19.0,5.0,2.0
2020-03-15,-16.0,2.0,-20.0,-26.0,0.0,3.0
2020-03-16,-14.0,2.0,-29.0,-23.0,-1.0,2.0
2020-03-17,-38.0,-14.0,-23.0,-45.0,-40.0,11.0
2020-03-18,-23.0,0.0,-26.0,-32.0,-13.0,6.0
2020-03-19,-29.0,-5.0,-27.0,-36.0,-19.0,9.0
2020-03-20,-38.0,-6.0,-45.0,-45.0,-20.0,11.0
2020-03-21,-60.0,-16.0,-61.0,-55.0,-28.0,14.0
2020-03-22,-73.0,-31.0,-70.0,-68.0,-30.0,15.0
2020-03-23,-69.0,-37.0,-58.0,-69.0,-50.0,19.0
2020-03-24,-70.0,-40.0,-59.0,-71.0,-54.0,19.0
