date,Porcentagem de varejo e recreação em relação à baseline,Porcentagem de compras de supermercado e farmácia em relação à baseline,Porcentagem de pessoas no parque em relação à baseline,Porcentagem do uso de estações de trânsito em relação à baseline,Porcentagem do uso dos locais de trabalho alterados em relação à baseline,Mudança percentual residencial em relação à baseline
2020-02-15,4.0,0.0,9.0,-6.0,9.0,0.0
2020-02-16,2.0,0.0,3.0,-8.0,2.0,1.0
2020-02-17,-3.0,-3.0,-2.0,-3.0,20.0,-1.0
2020-02-18,-4.0,-6.0,-14.0,1.0,20.0,-1.0
2020-02-19,-4.0,-8.0,-7.0,1.0,18.0,-1.0
2020-02-20,-2.0,-4.0,-7.0,8.0,18.0,-1.0
2020-02-21,0.0,2.0,-6.0,19.0,20.0,-2.0
2020-02-22,6.0,6.0,49.0,22.0,1.0,-2.0
2020-02-23,10.0,1.0,61.0,-17.0,-5.0,-1.0
2020-02-24,-10.0,-10.0,137.0,-28.0,-42.0,5.0
2020-02-25,-29.0,-26.0,78.0,-21.0,-57.0,7.0
2020-02-26,-8.0,-11.0,30.0,0.0,-9.0,3.0
2020-02-27,-8.0,-7.0,-4.0,-5.0,18.0,0.0
2020-02-28,-7.0,-2.0,-17.0,-9.0,22.0,0.0
2020-02-29,-2.0,1.0,-9.0,-11.0,9.0,3.0
2020-03-01,-1.0,5.0,2.0,-7.0,3.0,3.0
2020-03-02,-6.0,-3.0,-16.0,-3.0,22.0,-1.0
2020-03-03,-6.0,-5.0,-27.0,-1.0,20.0,-1.0
2020-03-04,1.0,-1.0,-13.0,-1.0,21.0,-1.0
2020-03-05,2.0,1.0,-5.0,1.0,22.0,-2.0
2020-03-06,4.0,4.0,-15.0,1.0,25.0,-2.0
2020-03-07,14.0,10.0,7.0,-2.0,10.0,0.0
2020-03-08,12.0,7.0,5.0,-11.0,6.0,1.0
2020-03-09,-1.0,0.0,-6.0,2.0,23.0,-2.0
2020-03-10,-5.0,-6.0,-25.0,1.0,20.0,-1.0
2020-03-11,3.0,0.0,0.0,5.0,21.0,-3.0
2020-03-12,2.0,0.0,-1.0,6.0,21.0,-2.0
2020-03-13,-1.0,1.0,-10.0,9.0,24.0,-2.0
2020-03-14,3.0,5.0,-7.0,10.0,9.0,1.0
2020-03-15,-4.0,4.0,-10.0,3.0,5.0,2.0
2020-03-16,-9.0,-1.0,-4.0,-4.0,9.0,2.0
2020-03-17,-11.0,0.0,-13.0,-8.0,2.0,4.0
2020-03-18,-16.0,3.0,-11.0,-11.0,-2.0,5.0
2020-03-19,-44.0,-7.0,-19.0,-32.0,-30.0,13.0
2020-03-20,-45.0,-8.0,-36.0,-33.0,-19.0,13.0
2020-03-21,-59.0,-20.0,-44.0,-40.0,-20.0,13.0
2020-03-22,-69.0,-36.0,-50.0,-57.0,-26.0,13.0
2020-03-23,-60.0,-24.0,-33.0,-59.0,-31.0,16.0
2020-03-24,-69.0,-37.0,-46.0,-66.0,-42.0,19.0
2020-03-25,-66.0,-33.0,-35.0,-72.0,-42.0,19.0
2020-03-26,-65.0,-34.0,-34.0,-69.0,-41.0,19.0
2020-03-27,-62.0,-29.0,-39.0,-68.0,-37.0,18.0
2020-03-28,-64.0,-30.0,-37.0,-69.0,-30.0,14.0
2020-03-29,-61.0,-31.0,-35.0,-71.0,-19.0,11.0
2020-03-30,-48.0,-24.0,-19.0,-62.0,-29.0,14.0
2020-03-31,-44.0,-18.0,-27.0,-58.0,-29.0,14.0
2020-04-01,-42.0,-15.0,-19.0,-58.0,-28.0,14.0
2020-04-02,-42.0,-17.0,-19.0,-56.0,-28.0,14.0
2020-04-03,-45.0,-13.0,-28.0,-55.0,-25.0,14.0
2020-04-04,-48.0,-13.0,-28.0,-57.0,-18.0,11.0
2020-04-05,-54.0,-22.0,-29.0,-63.0,-16.0,9.0
2020-04-06,-38.0,-14.0,-17.0,-54.0,-25.0,13.0
2020-04-07,-37.0,-11.0,-23.0,-52.0,-25.0,12.0
